            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2460554.500000000, A.D. 2024-Sep-01 00:00:00.0000,  1.397025598181264E+08, -5.546048974553281E+07,  3.072137092505768E+04,  1.034793261509756E+01,  2.764442413810292E+01, -1.120446153633381E-03,
2460555.500000000, A.D. 2024-Sep-02 00:00:00.0000,  1.405762398808687E+08, -5.306416223218361E+07,  3.063186740762368E+04,  9.875549253412146E+00,  2.782473330715599E+01, -9.577316619395759E-04,
2460556.500000000, A.D. 2024-Sep-03 00:00:00.0000,  1.414089554336386E+08, -5.065261702434773E+07,  3.055470126109198E+04,  9.399718290287861E+00,  2.799666840948524E+01, -8.357082864147714E-04,
2460557.500000000, A.D. 2024-Sep-04 00:00:00.0000,  1.422004185639820E+08, -4.822658177995381E+07,  3.048616231686249E+04,  8.920670795790427E+00,  2.816013723178093E+01, -7.585818691957513E-04,
2460558.500000000, A.D. 2024-Sep-05 00:00:00.0000,  1.429503614097070E+08, -4.578679121396547E+07,  3.042225237349607E+04,  8.438639319450772E+00,  2.831506838292371E+01, -7.288304799164536E-04,
2460559.500000000, A.D. 2024-Sep-06 00:00:00.0000,  1.436585361665127E+08, -4.333398537165724E+07,  3.035882931157388E+04,  7.953855249445382E+00,  2.846140953466301E+01, -7.473334911409779E-04,
2460560.500000000, A.D. 2024-Sep-07 00:00:00.0000,  1.443247149086622E+08, -4.086890807041448E+07,  3.029173805435747E+04,  7.466547171328145E+00,  2.859912535365159E+01, -8.135407315226217E-04,
2460561.500000000, A.D. 2024-Sep-08 00:00:00.0000,  1.449486893172963E+08, -3.839230551443960E+07,  3.021692686576769E+04,  6.976940371294576E+00,  2.872819567257002E+01, -9.256330610636354E-04,
2460562.500000000, A.D. 2024-Sep-09 00:00:00.0000,  1.455302704102317E+08, -3.590492503335683E+07,  3.013055238120258E+04,  6.485257307361771E+00,  2.884861456254541E+01, -1.080611725527092E-03,
2460563.500000000, A.D. 2024-Sep-10 00:00:00.0000,  1.460692883357969E+08, -3.340751383926092E+07,  3.002908228211291E+04,  5.991718495975362E+00,  2.896039092455456E+01, -1.274253890313659E-03,
